State,OverallHomeless2020,ShelteredTotalHomeless2020,UnshelteredHomeless2020,OverallHomeless2019,ShelteredTotalHomeless2019,UnshelteredHomeless2019,OverallHomeless2018,ShelteredTotalHomeless2018,UnshelteredHomeless2018,OverallHomeless2017,ShelteredTotalHomeless2017,UnshelteredHomeless2017,OverallHomeless2016,ShelteredTotalHomeless2016,UnshelteredHomeless2016,OverallHomeless2015,ShelteredTotalHomeless2015,UnshelteredHomeless2015,OverallHomeless2014,ShelteredTotalHomeless2014,UnshelteredHomeless2014,OverallHomeless2013,ShelteredTotalHomeless2013,UnshelteredHomeless2013,OverallHomeless2012,ShelteredTotalHomeless2012,UnshelteredHomeless2012,OverallHomeless2011,ShelteredTotalHomeless2011,UnshelteredHomeless2011,OverallHomeless2010,ShelteredTotalHomeless2010,UnshelteredHomeless2010,OverallHomeless2009,ShelteredTotalHomeless2009,UnshelteredHomeless2009,OverallHomeless2008,ShelteredTotalHomeless2008,UnshelteredHomeless2008,OverallHomeless2007,ShelteredTotalHomeless2007,UnshelteredHomeless2007
MS,1107,581,526,1184,698,486,1352,731,621,1472,753,719,1738,889,849,1983,1141,842,2226,1405,821,2403,1083,1320,2413,1042,1371,2306,1056,1250,2743,1181,1562,2797,1221,1576,1961,1206,755,1377,851,526
MT,1545,1085,460,1357,1012,345,1405,1032,373,1529,985,544,1418,788,630,1709,837,872,1745,911,834,1878,1094,784,1833,1153,680,1768,1216,552,1615,1168,447,1196,833,363,1417,1007,410,1150,855,295
NC,9280,6722,2558,9314,7046,2268,9268,6818,2450,8962,6511,2451,9559,7250,2309,10685,8260,2425,11491,8874,2617,12168,9013,3155,13524,8809,4715,12896,9245,3651,12191,9173,3018,12918,8473,4445,12411,8025,4386,11802,7879,3923
ND,541,507,34,557,545,12,542,494,48,1089,758,331,923,707,216,1305,819,486,1258,794,464,2069,674,1395,688,635,53,603,560,43,799,768,31,773,765,8,615,596,19,636,577,59
NE,2404,2261,143,2365,2255,110,2421,2277,144,2501,2381,120,2754,2653,101,2744,2621,123,3026,2917,109,3145,2972,173,3789,2957,832,3548,3041,507,3877,3355,522,3718,3079,639,3985,3227,758,3531,3007,524
NH,1675,1327,348,1396,1247,149,1450,1296,154,1456,1282,174,1366,1223,143,1445,1313,132,1376,1243,133,1447,1245,202,1496,1329,167,1469,1159,310,1574,1337,237,1645,1406,239,2019,1535,484,2248,1273,975
NJ,9662,7881,1781,8862,7380,1482,9398,7775,1623,8536,7122,1414,8895,7461,1434,10098,9124,974,11671,10736,935,12002,10603,1399,13025,11429,1596,14137,12830,1307,13737,12083,1654,13169,11871,1298,13832,11860,1972,17314,14836,2478
NM,3333,2074,1259,3241,1982,1259,2551,1755,796,2482,1686,796,2263,1809,454,2629,2175,454,2746,2318,428,2819,2391,428,3245,2397,848,3601,2753,848,3475,2108,1367,3475,2108,1367,3015,1748,1267,3015,1748,1267
NV,6900,2691,4209,7169,3362,3807,7544,3305,4239,7833,3255,4578,7398,3471,3927,8743,4528,4215,8582,4797,3785,7039,3698,3341,8497,3970,4527,9150,4545,4605,11205,7848,3357,11089,7792,3297,8726,4863,3863,8642,4818,3824
NY,91271,86714,4557,92091,88044,4047,91897,87603,4294,89503,84948,4555,86352,82761,3591,88250,84228,4022,80590,76487,4103,77430,73273,4157,69566,65482,4084,63445,59778,3667,65606,61467,4139,61067,57454,3613,61125,56516,4609,62601,57281,5320
